,total_energy_relative_loss,total_energy_relative_loss,total_energy_relative_loss,total_energy_relative_loss,trajectory_length,trajectory_length,trajectory_length,trajectory_length,q1_dominant_frequency,q1_dominant_frequency,q1_dominant_frequency,q1_dominant_frequency,q2_dominant_frequency,q2_dominant_frequency,q2_dominant_frequency,q2_dominant_frequency,q1_decay_rate,q1_decay_rate,q1_decay_rate,q1_decay_rate,q2_decay_rate,q2_decay_rate,q2_decay_rate,q2_decay_rate,q1_velocity_max_abs,q1_velocity_max_abs,q1_velocity_max_abs,q1_velocity_max_abs,q2_velocity_max_abs,q2_velocity_max_abs,q2_velocity_max_abs,q2_velocity_max_abs,q1_acceleration_max_abs,q1_acceleration_max_abs,q1_acceleration_max_abs,q1_acceleration_max_abs,q2_acceleration_max_abs,q2_acceleration_max_abs,q2_acceleration_max_abs,q2_acceleration_max_abs
,mean,std,median,count,mean,std,median,count,mean,std,median,count,mean,std,median,count,mean,std,median,count,mean,std,median,count,mean,std,median,count,mean,std,median,count,mean,std,median,count,mean,std,median,count
weight_mass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.18,-0.1715351766919876,,-0.1715351766919876,1,61.78967518942954,,61.78967518942954,1,0.4666666666666142,,0.4666666666666142,1,0.1333333333333183,,0.1333333333333183,1,0.0060922808119179,,0.0060922808119179,1,-0.1615338588138248,,-0.1615338588138248,1,8.944642650249591,,8.944642650249591,1,20.17846089349666,,20.17846089349666,1,69.81630614487084,,69.81630614487084,1,170.75926601763462,,170.75926601763462,1
0.19,-0.2040519397564023,,-0.2040519397564023,1,72.17088345268377,,72.17088345268377,1,0.5999999999999327,,0.5999999999999327,1,0.0666666666666591,,0.0666666666666591,1,-0.0089884573532921,,-0.0089884573532921,1,-0.2100296267983415,,-0.2100296267983415,1,8.998227887959853,,8.998227887959853,1,20.14772562319293,,20.14772562319293,1,72.10078748553425,,72.10078748553425,1,170.49200427249343,,170.49200427249343,1
0.2,-0.1676008071118317,,-0.1676008071118317,1,72.56395759377038,,72.56395759377038,1,0.4666666666666142,,0.4666666666666142,1,0.0666666666666591,,0.0666666666666591,1,0.0305799306263306,,0.0305799306263306,1,-0.1995346508718375,,-0.1995346508718375,1,9.052616959940035,,9.052616959940035,1,21.0149352205244,,21.0149352205244,1,75.1537744547937,,75.1537744547937,1,183.07296405160932,,183.07296405160932,1
0.21,-0.2117510039455693,,-0.2117510039455693,1,75.73975314454226,,75.73975314454226,1,0.4666666666666142,,0.4666666666666142,1,0.0666666666666591,,0.0666666666666591,1,0.0418581878173028,,0.0418581878173028,1,-0.2628244900245381,,-0.2628244900245381,1,9.10570795619908,,9.10570795619908,1,21.96550447811921,,21.96550447811921,1,84.50866011035271,,84.50866011035271,1,201.6027713093936,,201.6027713093936,1
0.22,-0.1851170461881332,,-0.1851170461881332,1,77.42420158663755,,77.42420158663755,1,0.3999999999999551,,0.3999999999999551,1,0.0666666666666591,,0.0666666666666591,1,0.0165937891093645,,0.0165937891093645,1,-0.0172380339376955,,-0.0172380339376955,1,9.157895945297964,,9.157895945297964,1,22.756444767271947,,22.756444767271947,1,87.99129980343935,,87.99129980343935,1,215.503686774004,,215.503686774004,1
0.23,-0.1851497609250833,,-0.1851497609250833,1,69.73733170703034,,69.73733170703034,1,0.5333333333332735,,0.5333333333332735,1,0.1333333333333183,,0.1333333333333183,1,-0.0199320635561603,,-0.0199320635561603,1,-0.2149396827002491,,-0.2149396827002491,1,9.212441254096824,,9.212441254096824,1,22.689463822065605,,22.689463822065605,1,87.79785270894789,,87.79785270894789,1,213.86787782514503,,213.86787782514503,1
0.24,-0.201104571339947,,-0.201104571339947,1,74.41482471887082,,74.41482471887082,1,0.4666666666666142,,0.4666666666666142,1,0.0666666666666591,,0.0666666666666591,1,-0.0135271794775061,,-0.0135271794775061,1,-0.1332183345100976,,-0.1332183345100976,1,9.26445349867393,,9.26445349867393,1,21.807027112880444,,21.807027112880444,1,83.25932723394612,,83.25932723394612,1,199.94744211864577,,199.94744211864577,1
0.25,-0.1605636574399513,,-0.1605636574399513,1,66.23335822159152,,66.23335822159152,1,0.5333333333332735,,0.5333333333332735,1,0.1333333333333183,,0.1333333333333183,1,-0.0057278483385717,,-0.0057278483385717,1,-0.2198628694542735,,-0.2198628694542735,1,9.31672419417728,,9.31672419417728,1,19.99453456009434,,19.99453456009434,1,79.81987438858081,,79.81987438858081,1,176.57782685530557,,176.57782685530557,1
0.26,-0.1779327269078759,,-0.1779327269078759,1,69.2549477457794,,69.2549477457794,1,0.5333333333332735,,0.5333333333332735,1,0.0666666666666591,,0.0666666666666591,1,-0.0121559275720362,,-0.0121559275720362,1,-0.1530085038749438,,-0.1530085038749438,1,9.369120349709926,,9.369120349709926,1,19.72176619515164,,19.72176619515164,1,79.07806579253212,,79.07806579253212,1,174.3044956216689,,174.3044956216689,1
0.27,-0.2071495351924605,,-0.2071495351924605,1,74.26811934289566,,74.26811934289566,1,0.5333333333332735,,0.5333333333332735,1,0.1333333333333183,,0.1333333333333183,1,-0.0198906618661454,,-0.0198906618661454,1,-0.2724989405925308,,-0.2724989405925308,1,9.418903402989384,,9.418903402989384,1,21.72077574548544,,21.72077574548544,1,85.36526160940376,,85.36526160940376,1,202.2383095734201,,202.2383095734201,1
